Territorio,Atividades,Mes_Ano,Indice,Data,Ano
Brasil,Hipermercados e supermercados,maio 2021,97.78763,2021-05-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",junho 2021,94.35815,2021-06-01,2021
Brasil,Hipermercados e supermercados,junho 2021,94.10462,2021-06-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",julho 2021,100.48852,2021-07-01,2021
Brasil,Hipermercados e supermercados,julho 2021,100.3014,2021-07-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",agosto 2021,97.42588,2021-08-01,2021
Brasil,Hipermercados e supermercados,agosto 2021,97.13298,2021-08-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",setembro 2021,94.24539,2021-09-01,2021
Brasil,Hipermercados e supermercados,setembro 2021,93.79065,2021-09-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",outubro 2021,99.79527,2021-10-01,2021
Brasil,Hipermercados e supermercados,outubro 2021,99.6474,2021-10-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",novembro 2021,99.29806,2021-11-01,2021
Brasil,Hipermercados e supermercados,novembro 2021,99.21334,2021-11-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",dezembro 2021,118.7507,2021-12-01,2021
Brasil,Hipermercados e supermercados,dezembro 2021,118.90948,2021-12-01,2021
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",janeiro 2022,94.08817,2022-01-01,2022
Brasil,Hipermercados e supermercados,janeiro 2022,93.99327,2022-01-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",fevereiro 2022,91.8808,2022-02-01,2022
Brasil,Hipermercados e supermercados,fevereiro 2022,91.46843,2022-02-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",março 2022,97.29826,2022-03-01,2022
Brasil,Hipermercados e supermercados,março 2022,96.91359,2022-03-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",abril 2022,99.87038,2022-04-01,2022
Brasil,Hipermercados e supermercados,abril 2022,99.87137,2022-04-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",maio 2022,97.38395,2022-05-01,2022
Brasil,Hipermercados e supermercados,maio 2022,97.15813,2022-05-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",junho 2022,96.46825,2022-06-01,2022
Brasil,Hipermercados e supermercados,junho 2022,96.16971,2022-06-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",julho 2022,100.21917,2022-07-01,2022
Brasil,Hipermercados e supermercados,julho 2022,100.31185,2022-07-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",agosto 2022,98.78697,2022-08-01,2022
Brasil,Hipermercados e supermercados,agosto 2022,98.7993,2022-08-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",setembro 2022,97.78536,2022-09-01,2022
Brasil,Hipermercados e supermercados,setembro 2022,97.71469,2022-09-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",outubro 2022,102.51205,2022-10-01,2022
Brasil,Hipermercados e supermercados,outubro 2022,102.37674,2022-10-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",novembro 2022,102.04472,2022-11-01,2022
Brasil,Hipermercados e supermercados,novembro 2022,102.47478,2022-11-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",dezembro 2022,121.66192,2022-12-01,2022
Brasil,Hipermercados e supermercados,dezembro 2022,122.74814,2022-12-01,2022
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",janeiro 2023,96.3007,2023-01-01,2023
Brasil,Hipermercados e supermercados,janeiro 2023,96.58423,2023-01-01,2023
