Mes,Indice,Mes_nome
1,97.54931714285715,Jan
2,94.62392285714284,Fev
3,102.58458285714286,Mar
4,100.18422142857142,Abr
5,101.09966285714286,Mai
6,97.88076428571428,Jun
7,101.84981571428571,Jul
8,103.44642857142857,Ago
9,99.65964571428572,Set
10,104.35455857142857,Out
11,105.15675142857143,Nov
12,122.74255000000001,Dez
